""	13.530804540476367
"12347"	2.8900000000000006
"12370"	2.3937349397590357
"12386"	2.72625
"12395"	3.1174999999999997
"12427"	4.925
"12429"	4.6485
"12431"	5.278571428571429
"12433"	1.62469387755102
"12434"	4.283333333333333
"12441"	3.700909090909091
"12471"	3.4042857142857144
"12472"	2.5888095238095223
"12474"	8.5
"12476"	6.2250000000000005
"12481"	4.567000000000001
"12494"	10.633333333333333
"12540"	4.857000000000001
"12557"	1.57
"12567"	4.342168674698795
"12583"	2.7645
"12586"	8.5
"12600"	9.975
"12605"	1.8
"12621"	3.625714285714286
"12647"	6.538888888888888
"12649"	1.65
"12662"	2.9579999999999997
"12681"	2.664146341463414
"12682"	3.2504081632653077
"12683"	2.870000000000001
"12686"	3.258571428571429
"12708"	3.452142857142857
"12709"	5.771428571428571
"12712"	5.2352380952380955
"12720"	2.680666666666667
"12721"	5.083333333333333
"12725"	4.104166666666667
"12731"	3.65625
"12738"	3.95
"12747"	3.6646666666666663
"12748"	2.2765202108963143
"12753"	1.9158333333333335
"12755"	2.55
"12763"	1.8118749999999997
"12766"	3.626792452830188
"12779"	2.37375
"12785"	4.828571428571428
"12791"	8.425
"12793"	5.485714285714286
"12797"	5.143846153846154
"12808"	5.728571428571429
"12826"	2.472222222222222
"12838"	1.9733898305084747
"12839"	1.7290909090909088
"12841"	2.7508510638297863
"12855"	1.55
"12868"	3.170833333333333
"12870"	7.449999999999999
"12872"	2.6100000000000003
"12875"	0.17
"12913"	3.0599999999999996
"12915"	7.692307692307693
"12921"	2.467142857142857
"12942"	5.471875
"12947"	2.9605882352941175
"12963"	2.8406249999999997
"12967"	7.203333333333334
"12971"	1.5322222222222222
"12989"	6.75
"13000"	4.163636363636364
"13008"	0.85
"13011"	4.216666666666667
"13013"	2.989402985074627
"13021"	1.69
"13030"	3.1286666666666654
"13034"	1.6827272727272726
"13047"	4.899411764705883
"13050"	4.580285714285713
"13065"	5.222142857142858
"13069"	1.4928205128205125
"13077"	2.394285714285714
"13078"	4.121666666666667
"13081"	2.0886486486486486
"13089"	3.2818749999999977
"13090"	5.0375
"13093"	5.180769230769231
"13094"	1.2
"13102"	1.8845454545454543
"13108"	1.7520000000000002
"13113"	4.072307692307692
"13115"	1.25
"13117"	4.2057692307692305
"13126"	2.3976923076923073
"13136"	4.05
"13138"	2.7657142857142856
"13140"	2.156875
"13145"	295.0
"13148"	3.0000000000000004
"13155"	2.914038461538461
"13173"	2.649565217391305
"13174"	3.075443786982249
"13178"	1.925
"13198"	3.008333333333334
"13199"	2.7925
"13209"	4.653846153846154
"13211"	2.0
"13225"	1.4699999999999998
"13230"	3.0153846153846158
"13240"	2.7752380952380955
"13255"	4.55
"13267"	3.8964285714285722
"13269"	2.7160714285714294
"13270"	2.95
"13295"	3.25
"13305"	1.0899999999999999
"13319"	3.78257142857143
"13324"	4.39
"13327"	2.9285714285714297
"13329"	2.35875
"13369"	6.5442857142857145
"13370"	3.777045454545454
"13402"	2.731764705882353
"13408"	2.3891666666666667
"13418"	3.2512121212121223
"13448"	3.074444444444444
"13455"	4.935666666666666
"13468"	4.929117647058824
"13481"	4.25
"13488"	3.4286666666666665
"13491"	4.557142857142857
"13495"	2.7527777777777778
"13497"	4.2
"13506"	2.834705882352941
"13520"	9.241666666666667
"13523"	3.380333333333334
"13531"	4.84
"13564"	3.6097560975609757
"13569"	3.3716666666666666
"13576"	3.2763636363636364
"13579"	4.583333333333333
"13599"	1.873
"13649"	3.520000000000001
"13652"	3.9027777777777786
"13668"	3.2171428571428575
"13694"	1.7633333333333334
"13705"	18.398999999999997
"13715"	2.619361702127661
"13747"	9.95
"13748"	2.55
"13756"	1.85
"13758"	3.020833333333334
"13767"	2.91325
"13769"	2.6500000000000004
"13777"	2.0069444444444446
"13786"	1.8928571428571428
"13787"	2.4785714285714286
"13798"	1.9834848484848489
"13802"	9.45
"13807"	5.1499999999999995
"13831"	2.55
"13838"	3.77076923076923
"13842"	3.282000000000001
"13848"	0.32
"13854"	6.249999999999999
"13880"	2.158333333333333
"13941"	2.130833333333334
"13948"	3.9499999999999997
"13958"	7.790000000000001
"13959"	2.4575000000000005
"13963"	3.2928571428571423
"13969"	2.8216
"13982"	2.5347826086956524
"13983"	2.6400000000000006
"13984"	1.31
"13999"	1.3188235294117643
"14001"	4.415555555555557
"14030"	15.324074074074074
"14031"	3.8575862068965527
"14032"	2.658666666666667
"14037"	3.5000000000000004
"14045"	2.55
"14047"	5.587692307692308
"14051"	3.524285714285714
"14057"	1.426511627906977
"14060"	0.9841666666666665
"14062"	3.298095238095238
"14078"	3.49
"14081"	3.0365217391304347
"14082"	2.5875862068965523
"14083"	2.8928787878787863
"14085"	3.003333333333333
"14092"	2.95
"14107"	2.363125
"14135"	2.3845945945945948
"14142"	1.7704545454545455
"14156"	1.8719999999999999
"14159"	1.8515686274509802
"14161"	2.8442307692307693
"14176"	3.5200000000000005
"14180"	7.922413793103446
"14189"	2.2744444444444443
"14205"	3.8142857142857145
"14206"	9.95
"14210"	4.500000000000001
"14213"	4.89
"14215"	2.1166666666666667
"14217"	9.61875
"14236"	5.55
"14237"	7.122222222222222
"14243"	4.3812500000000005
"14256"	3.0765625
"14264"	6.0
"14282"	2.126923076923077
"14290"	5.006086956521739
"14293"	2.4386666666666676
"14298"	1.5311224489795916
"14299"	5.884285714285714
"14307"	2.4031250000000006
"14344"	5.0346153846153845
"14355"	2.85
"14388"	3.2782608695652184
"14390"	3.3535714285714286
"14395"	2.9648148148148152
"14396"	2.998529411764706
"14404"	3.1665384615384613
"14409"	2.016666666666667
"14413"	2.806521739130435
"14415"	6.449999999999999
"14419"	2.5452380952380955
"14437"	1.0499999999999998
"14440"	4.68846153846154
"14441"	8.5
"14443"	2.5604347826086955
"14448"	2.580555555555556
"14449"	1.7358000000000007
"14466"	5.7299999999999995
"14479"	3.55
"14487"	3.671428571428572
"14491"	4.15
"14496"	5.358
"14498"	5.019285714285714
"14505"	2.7248175182481718
"14506"	2.801
"14524"	3.349615384615385
"14525"	1.5470000000000002
"14527"	5.9081355932203365
"14543"	8.39
"14544"	2.3698245614035085
"14565"	2.6540740740740736
"14573"	4.009210526315788
"14576"	2.95
"14577"	3.002631578947369
"14589"	7.95
"14594"	3.0087096774193554
"14606"	3.671744966442952
"14608"	4.25
"14618"	4.95
"14625"	4.062222222222222
"14639"	5.498536585365851
"14667"	3.5423076923076904
"14673"	2.1546666666666665
"14679"	2.55
"14680"	3.3415789473684208
"14684"	2.5388636363636365
"14688"	1.7552631578947369
"14696"	2.265263157894737
"14702"	2.298333333333334
"14708"	2.8153846153846156
"14713"	3.0460000000000007
"14723"	2.7539534883720935
"14729"	2.1591549295774644
"14733"	3.6742622950819666
"14739"	1.4958333333333333
"14741"	1.8026315789473684
"14744"	1.5166666666666666
"14748"	2.2856250000000005
"14766"	5.850000000000001
"14775"	1.1505000000000003
"14796"	1.6196629213483131
"14800"	1.8102127659574472
"14810"	2.906086956521739
